"","recording","site_name","playlist","time","date","MANUAL_MATCH","template","threshold","identifikators","PM_MATCH","validated_fragment"
"24","20250823_000000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.3","2_AiAu09_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.3",NA,NA
"25","20250823_000000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.1","2_AiAu09_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.1",NA,NA
"26","20250823_000000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.2","2_AiAu09_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.2",NA,NA
"27","20250823_000000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.3","2_AiAu09_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.3",NA,NA
"28","20250823_000000.WAV","3_AiAu06_DA","3_AiAu06_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.1","3_AiAu06_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.1",1,0
"29","20250823_000000.WAV","3_AiAu06_DA","3_AiAu06_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.2","3_AiAu06_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.2",NA,NA
"30","20250823_000000.WAV","3_AiAu06_DA","3_AiAu06_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.3","3_AiAu06_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.3",NA,NA
"31","20250823_000000.WAV","3_AiAu06_DA","3_AiAu06_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.1","3_AiAu06_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.1",NA,NA
"32","20250823_000000.WAV","3_AiAu06_DA","3_AiAu06_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.2","3_AiAu06_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.2",NA,NA
"33","20250823_000000.WAV","3_AiAu06_DA","3_AiAu06_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.3","3_AiAu06_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.3",NA,NA
"34","20250823_000000.WAV","3_AiAu06_DA","3_AiAu06_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.1","3_AiAu06_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.1",NA,NA
"35","20250823_000000.WAV","3_AiAu06_DA","3_AiAu06_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.2","3_AiAu06_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.2",NA,NA
"36","20250823_000000.WAV","3_AiAu06_DA","3_AiAu06_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.3","3_AiAu06_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.3",NA,NA
"37","20250823_000000.WAV","4_ZdzE08_DA","4_ZdzE08_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.1","4_ZdzE08_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.1",NA,NA
"38","20250823_000000.WAV","4_ZdzE08_DA","4_ZdzE08_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.2","4_ZdzE08_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.2",NA,NA
"39","20250823_000000.WAV","4_ZdzE08_DA","4_ZdzE08_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.3","4_ZdzE08_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.3",NA,NA
"40","20250823_000000.WAV","4_ZdzE08_DA","4_ZdzE08_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.1","4_ZdzE08_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.1",NA,NA
"41","20250823_000000.WAV","4_ZdzE08_DA","4_ZdzE08_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.2","4_ZdzE08_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.2",NA,NA
"42","20250823_000000.WAV","4_ZdzE08_DA","4_ZdzE08_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.3","4_ZdzE08_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.3",NA,NA
"43","20250823_000000.WAV","4_ZdzE08_DA","4_ZdzE08_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.1","4_ZdzE08_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.1",NA,NA
"44","20250823_000000.WAV","4_ZdzE08_DA","4_ZdzE08_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.2","4_ZdzE08_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.2",NA,NA
"45","20250823_000000.WAV","4_ZdzE08_DA","4_ZdzE08_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.3","4_ZdzE08_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.3",NA,NA
"46","20250823_000000.WAV","5_ZdzE03_KZP","5_ZdzE03_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.1","5_ZdzE03_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.1",NA,NA
"47","20250823_000000.WAV","5_ZdzE03_KZP","5_ZdzE03_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.2","5_ZdzE03_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.2",NA,NA
"48","20250823_000000.WAV","5_ZdzE03_KZP","5_ZdzE03_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.3","5_ZdzE03_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.3",NA,NA
"49","20250823_000000.WAV","5_ZdzE03_KZP","5_ZdzE03_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.1","5_ZdzE03_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.1",NA,NA
"50","20250823_000000.WAV","5_ZdzE03_KZP","5_ZdzE03_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.2","5_ZdzE03_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.2",NA,NA
"51","20250823_000000.WAV","5_ZdzE03_KZP","5_ZdzE03_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.3","5_ZdzE03_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.3",NA,NA
"52","20250823_000000.WAV","5_ZdzE03_KZP","5_ZdzE03_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.1","5_ZdzE03_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.1",NA,NA
"53","20250823_000000.WAV","5_ZdzE03_KZP","5_ZdzE03_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.2","5_ZdzE03_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.2",NA,NA
"54","20250823_000000.WAV","5_ZdzE03_KZP","5_ZdzE03_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.3","5_ZdzE03_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.3",NA,NA
"55","20250823_000000.WAV","6_ZdzE07_KZP","6_ZdzE07_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.1","6_ZdzE07_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.1",NA,NA
"56","20250823_000000.WAV","6_ZdzE07_KZP","6_ZdzE07_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.2","6_ZdzE07_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.2",NA,NA
"57","20250823_000000.WAV","6_ZdzE07_KZP","6_ZdzE07_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.3","6_ZdzE07_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.3",NA,NA
"58","20250823_000000.WAV","6_ZdzE07_KZP","6_ZdzE07_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.1","6_ZdzE07_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.1",NA,NA
"59","20250823_000000.WAV","6_ZdzE07_KZP","6_ZdzE07_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.2","6_ZdzE07_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.2",NA,NA
"60","20250823_000000.WAV","6_ZdzE07_KZP","6_ZdzE07_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.3","6_ZdzE07_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.3",NA,NA
"61","20250823_000000.WAV","6_ZdzE07_KZP","6_ZdzE07_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.1","6_ZdzE07_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.1",NA,NA
